n,mean_profit,ci_lower,ci_upper,std,se
100,3623.8865051515154,-44830.46414268853,52078.23715299156,247216.0747338778,24721.60747338778
500,9611.29694573333,-11790.123981052437,31012.717872519097,244158.32656826286,10919.092309584574
1000,23341.141619442427,8087.678633128828,38594.60460575603,246100.43490726914,7782.379074649796
2500,22786.37881811151,13416.995334800167,32155.762301422852,239014.88477835056,4780.297695567011
5000,22641.408485829084,16051.335049980542,29231.481921677627,237749.26607172625,3362.282365228848
10000,26316.68984444788,21600.33721584163,31033.042473054127,240630.23615337987,2406.302361533799
20000,27975.871625383937,24613.549392574736,31338.19385819314,242604.16850547743,1715.4705269434692
